User ID,Name,Email,Password,Role,Store,Enabled,Created
,Tona Jone,non.dapibus.rutrum@a.edu,*,Order manager,,yes,
,Florencia Taormina,non.lacinia@adipiscingenimmi.com,*,Content manager,,yes,
,Joanna Piersall,sem@natoquepenatibus.net,*,General manager,,yes,
,Thao Woll,vel@liberomauris.co.uk,*,,,yes,
,Whitney Schommer,eu.odio@est.ca,*,,,yes,
,Diana Delmonte,dictum@turpisvitae.ca,*,,,yes,
,Fern Peachey,eget.ipsum@dictumauguemalesuada.co.uk,*,,,yes,
,Soledad Render,tincidunt@eu.com,*,,,yes,
,Desmond Seabrook,semper@diam.edu,*,,,yes,
,Hilary Symes,sem.egestas.blandit@nunc.org,*,,,yes,
